,domain_name,field_name,subfield_name,name
1001,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Clustered Regularly Interspaced Short Palindromic Repeats and CRISPR-associated proteins
1004,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Cardiac Development and Regeneration
1005,Health Sciences,Medicine,Otorhinolaryngology,Chronic Rhinosinusitis and Nasal Polyps
1019,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Ion Channels Regulation
1020,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Effects of Hormones on Menopausal Women's Health
1021,Physical Sciences,Materials Science,Materials Chemistry,Dynamics and Transitions in Glassy Materials
1026,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,"Phytochemical, Pharmacological, and Toxicological Properties of Ginger"
1034,Social Sciences,Social Sciences,Sociology and Political Science,Qualitative Data Collection and Analysis Methods
1037,Physical Sciences,Environmental Science,Environmental Chemistry,Perfluoroalkyl and Polyfluoroalkyl Substances in the Environment
1051,Health Sciences,Medicine,Surgery,Cardiac Surgery and Bypass Grafting Outcomes
1063,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Advancements in Density Functional Theory
1065,Health Sciences,Medicine,Pathology and Forensic Medicine,Pathophysiology of Myocardial Reperfusion Injury
1071,Physical Sciences,Engineering,Biomedical Engineering,Advances in Photoacoustic Imaging and Tomography
1102,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuroscience of Mind Wandering and Attention Lapses
1105,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Mechanisms of Chemotherapy-Induced Cognitive Impairment
1111,Health Sciences,Medicine,Hematology,Hemophagocytic Lymphohistiocytosis and Related Disorders
1118,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Self-Management of Diabetes in Adults
1147,Physical Sciences,Environmental Science,Ecology,Resilience of Coral Reef Ecosystems to Climate Change
1148,Physical Sciences,Chemistry,Organic Chemistry,Transition-Metal-Catalyzed C–H Bond Functionalization
1153,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Gene Therapy Techniques and Applications
1154,Physical Sciences,Materials Science,Materials Chemistry,Nanomaterials with Enzyme-Like Characteristics
1156,Social Sciences,Psychology,Applied Psychology,Digital Mental Health Interventions and Efficacy
1159,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Mechanical Ventilation in Respiratory Failure and ARDS
1168,Physical Sciences,Mathematics,Statistics and Probability,Methods for Causal Inference in Observational Studies
1172,Life Sciences,Agricultural and Biological Sciences,Plant Science,Genome Evolution and Polyploidy in Plants
1174,Social Sciences,Psychology,Clinical Psychology,Psychopathy and Criminal Behavior
1178,Social Sciences,Decision Sciences,General Decision Sciences,Behavioral Economics and Decision Making
1179,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiac Rehabilitation and Cardiovascular Health Interventions
1180,Health Sciences,Medicine,Biochemistry,Antioxidants and Free Radicals in Health and Disease
1187,Life Sciences,Neuroscience,Cognitive Neuroscience,Sleep's Role in Memory Consolidation and Regulation
1193,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Mitochondrial Dynamics and Reactive Oxygen Species Regulation
1206,Health Sciences,Medicine,Pathology and Forensic Medicine,Vitamin D and Health Outcomes
1209,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Evolutionary Dynamics of Genetic Adaptation and Mutation
1214,Health Sciences,Medicine,Pharmacology,Molecular Mechanisms of Depression Treatment Strategies
1217,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Management of Diabetes Mellitus and Hypoglycemia
1218,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Stochasticity in Gene Regulatory Networks
1222,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,Deuterium Incorporation in Pharmaceutical Research
1235,Physical Sciences,Chemistry,Organic Chemistry,Synthesis and Biological Activities of Quinoxaline Derivatives
1237,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Protein Tyrosine Phosphatases in Human Health and Disease
1249,Social Sciences,Psychology,Social Psychology,Multicultural Counseling Competencies and Ethical Practice
1253,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Angiogenesis and Vascular Function
1254,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Diagnosis and Treatment of Patent Ductus Arteriosus
1255,Health Sciences,Medicine,Urology,Applications of Platelet-Rich Plasma in Regenerative Medicine
1260,Physical Sciences,Chemistry,Spectroscopy,Mass Spectrometry Techniques with Proteins
1268,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Mechanisms of Intracellular Membrane Trafficking
1273,Social Sciences,Psychology,Clinical Psychology,Psychological Resilience and Well-being
1274,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Sarcoma Research and Treatment
1278,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,"Aetiology, Diagnosis, and Management of Myocarditis"
1295,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Analysis of Gene Interaction Networks
1310,Health Sciences,Medicine,Ophthalmology,Ocular Cancer Research and Treatment
1311,Health Sciences,Medicine,Immunology and Allergy,Integrin Signaling in Inflammation and Cancer
1326,Physical Sciences,Chemistry,Inorganic Chemistry,Chemistry and Applications of Metal-Organic Frameworks
1337,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Arrhythmogenic Right Ventricular Cardiomyopathy
1347,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Protein Metabolism in Exercise and Nutrition
1351,Health Sciences,Medicine,Pharmacology,Effects of Caffeine on Human Health
1365,Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,Physics-Informed Neural Networks for Scientific Computing
1366,Health Sciences,Medicine,Physiology,Biological Basis and Clinical Management of Syphilis
1367,Life Sciences,Immunology and Microbiology,Microbiology,Antimicrobial Peptides in Host Defense and Therapy
1371,Social Sciences,"Business, Management and Accounting",Accounting,Corporate Governance and Financial Performance
1375,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Health Economics and Quality of Life Assessment
1378,Life Sciences,Immunology and Microbiology,Immunology,Genetic Basis of Primary Immunodeficiency Disorders
1384,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Influence of Corporations on Public Health Policy
1385,Life Sciences,Agricultural and Biological Sciences,Plant Science,Plant Nutrient Uptake and Signaling Pathways
1386,Physical Sciences,Environmental Science,Ecology,Ecology and Evolution of Viruses in Ecosystems
1389,Health Sciences,Medicine,Pathology and Forensic Medicine,Pathophysiology of Lumbar Disc Degeneration and Treatment
1390,Health Sciences,Medicine,Obstetrics and Gynecology,Pathophysiology and Management of Preeclampsia
1393,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Emerging Zoonotic Diseases and One Health Approach
1426,Physical Sciences,Engineering,Electrical and Electronic Engineering,Perovskite Solar Cell Technology
1439,Physical Sciences,Engineering,Electrical and Electronic Engineering,Molecular Electronic Devices and Systems
1441,Health Sciences,Medicine,Hematology,Efficacy and Resistance in CML Treatment
1442,Health Sciences,Medicine,Hepatology,Liver Cirrhosis and Associated Complications
1454,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Institutions and Economic Growth: Empirical Investigations and Theories
1456,Physical Sciences,Environmental Science,Global and Planetary Change,Global Methane Emissions and Impacts
1467,Health Sciences,Health Professions,General Health Professions,Adolescent Sexual Health and Behavior Patterns
1473,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging","Therapeutic Antibodies: Development, Engineering, and Applications"
1486,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biological Methane Utilization and Metabolism
1489,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiac Resynchronization Therapy in Heart Failure
1490,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetic Research on BRCA Mutations and Cancer Risk
1496,Health Sciences,Medicine,Genetics,Gene Therapy for Spinal Muscular Atrophy
1503,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Prenatal Aneuploidy Diagnosis and Screening Techniques
1507,Life Sciences,Neuroscience,Developmental Neuroscience,Neurotoxic Effects of Anesthetic Agents on Brain Development
1510,Social Sciences,Social Sciences,Transportation,Influence of Built Environment on Active Travel
1515,Social Sciences,Decision Sciences,Management Science and Operations Research,Models and Dynamics of Technology Diffusion
1529,Life Sciences,Immunology and Microbiology,Immunology,Immunological Mechanisms in Pregnancy and Fetal-Maternal Interface
1532,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Bose-Einstein Condensation of Polaritons
1549,Life Sciences,Neuroscience,Neurology,Blood-Brain Barrier and Neurovascular Interactions
1550,Health Sciences,Medicine,Physiology,Lysosomal Storage Disorders in Human Health and Disease
1553,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Prevalence and Impact of Down Syndrome
1557,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,Biochemistry of Diabetic Complications
1558,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Neural Interface Technology
1562,Health Sciences,Health Professions,General Health Professions,Impact of Homelessness on Health and Well-being
1567,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Health Risks of Medical Imaging Radiation Exposure
1576,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Structure and Function of G Protein-Coupled Receptors
1577,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Role of Nrf2 Signaling in Oxidative Stress Response
1582,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economics of Pharmaceutical Research and Development
1589,Health Sciences,Medicine,Surgery,Helicobacter pylori Infection and Gastric Cancer
1591,Health Sciences,Medicine,Rheumatology,Systemic Lupus Erythematosus and Antiphospholipid Syndrome
1600,Social Sciences,"Business, Management and Accounting",Marketing,Economic Analysis of Retail and Marketing Strategies
1602,Physical Sciences,Computer Science,Computer Networks and Communications,Dynamics of Synchronization in Complex Networks
1609,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Regulation and Function of Microtubules in Cell Division
1611,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Airborne Transmission of Respiratory Viruses
1631,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economics of Health Care Systems and Policies
1649,Health Sciences,Health Professions,Emergency Medical Services,Operating Room Planning and Scheduling in Healthcare
1650,Health Sciences,Medicine,Ophthalmology,Age-Related Macular Degeneration Research
1651,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Quantum Coherence in Photosynthesis and Aqueous Systems
1655,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Recommendations for Cardiac Chamber Quantification by Echocardiography
1657,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Management of Diabetes Mellitus and Cardiovascular Risk
1680,Social Sciences,Social Sciences,Sociology and Political Science,Effects of Residential Segregation on Communities and Individuals
1682,Health Sciences,Medicine,Oncology,Viral-Related Cancers in Immunocompromised Patients
1687,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Radiomics in Medical Imaging Analysis
1690,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biological Agents for Bioterrorism
1691,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Inflammasome Activation and Regulation
1693,Health Sciences,Medicine,Geriatrics and Gerontology,Frailty in Older Adults and Geriatric Care
1699,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",Metal-Induced Oxidative Stress and Health Effects
